Date,DE,DHR,GOOG,MSFT,REGI,TMO,VZ,ZTS
2014-01-02,77.41018676757812,37.94338607788086,554.481689453125,32.131168365478516,11.84000015258789,106.97098541259766,35.81224822998047,30.71856117248535
2014-01-03,77.75324249267578,37.99797821044922,550.4368286132812,31.914997100830078,11.789999961853027,107.38079833984375,35.38834762573242,30.42428970336914
2014-01-06,77.11003875732422,37.66545486450195,556.5738525390625,31.240556716918945,11.470000267028809,107.39055633544922,35.58568572998047,30.357839584350586
2014-01-07,77.45306396484375,37.9781379699707,567.3035888671875,31.482662200927734,11.260000228881836,109.58597564697266,36.03150177001953,30.471750259399414
2014-01-08,76.62117004394531,37.99797821044922,568.4841918945312,30.920623779296875,10.899999618530273,111.27400207519531,35.832027435302734,30.13001251220703
2014-01-09,76.31243133544922,38.454586029052734,563.0097045898438,30.721755981445312,10.630000114440918,111.23501586914062,35.09322738647461,30.338848114013672
2014-01-10,76.98137664794922,38.55385208129883,562.9797973632812,31.162736892700195,10.640000343322754,111.68382263183594,35.277923583984375,30.889434814453125
2014-01-13,76.7669677734375,37.79448699951172,559.3932495117188,30.24618148803711,10.510000228881836,110.24948120117188,34.74598693847656,30.167984008789062
2014-01-14,76.92992401123047,38.84172058105469,572.553955078125,30.937925338745117,10.739999771118164,111.97657775878906,34.78292465209961,30.234426498413086
2014-01-15,77.01567077636719,38.81690979003906,572.1654052734375,31.785293579101562,10.789999961853027,112.7181396484375,35.662109375,30.196460723876953
2014-01-16,77.04142761230469,38.9757194519043,575.951171875,31.897706985473633,10.920000076293945,113.29381561279297,35.85419464111328,30.37682342529297
2014-01-17,76.62975311279297,38.64814758300781,573.1168212890625,31.45671844482422,10.880000114440918,113.07916259765625,35.72120666503906,30.12051773071289
2014-01-21,76.65547180175781,38.712677001953125,579.67724609375,31.2751407623291,11.279999732971191,112.16193389892578,35.240989685058594,29.68384552001953
2014-01-22,76.03800201416016,38.68288803100586,580.3347778320312,31.0676212310791,11.770000457763672,111.91802215576172,34.96763610839844,29.864212036132812
2014-01-23,75.36904907226562,38.27096176147461,577.8839721679688,31.18002700805664,10.529999732971191,110.07384490966797,35.35919189453125,30.13001251220703
2014-01-24,73.3707275390625,36.79193878173828,559.816650390625,31.828533172607422,10.300000190734863,107.28323364257812,35.189273834228516,29.864212036132812
2014-01-27,73.76524353027344,36.777034759521484,548.558837890625,31.154085159301758,10.029999732971191,107.20516204833984,35.233604431152344,29.769289016723633
2014-01-28,74.26265716552734,37.32796859741211,559.408203125,31.361616134643555,10.010000228881836,109.59574890136719,34.98979568481445,29.913908004760742
2014-01-29,73.6966323852539,37.28825378417969,551.3932495117188,31.698833465576172,10.149999618530273,109.0395736694336,35.233604431152344,29.28594207763672
2014-01-30,74.25411987304688,37.372623443603516,565.5750732421875,31.871767044067383,10.260000228881836,112.20098876953125,35.189273834228516,29.18128204345703
2014-01-31,73.72236633300781,36.92097473144531,588.2799682617188,32.71913528442383,10.010000228881836,112.34735107421875,35.4774055480957,28.886327743530273
2014-02-03,72.71036529541016,36.012718200683594,564.5987548828125,31.543197631835938,9.720000267028809,110.38609313964844,34.28792190551758,28.895851135253906
2014-02-04,72.99337005615234,36.19636154174805,566.9548950195312,31.430789947509766,9.9399995803833,110.22023010253906,34.59083557128906,28.76264190673828
2014-02-05,72.64173126220703,35.97797393798828,569.4655151367188,30.972509384155273,10.020000457763672,110.45438385009766,34.49479675292969,28.667495727539062
2014-02-06,73.26782989501953,36.58348083496094,577.814208984375,31.283777236938477,10.15999984741211,111.6545639038086,34.48740005493164,28.591379165649414
2014-02-07,74.23694610595703,37.28328323364258,586.5215454101562,31.612367630004883,10.34000015258789,114.91355895996094,34.58345031738281,29.20983123779297
2014-02-10,74.92305755615234,37.25846481323242,584.2749633789062,31.81989288330078,10.260000228881836,115.73318481445312,34.657325744628906,29.62847328186035
2014-02-11,75.00882720947266,37.41729736328125,592.8677978515625,32.13981246948242,10.270000457763672,118.0652084350586,34.87897491455078,27.71603012084961
2014-02-12,74.5285415649414,37.4967041015625,591.1292724609375,32.39921188354492,10.229999542236328,118.57258605957031,34.997188568115234,28.54380226135254
2014-02-13,73.62802124023438,37.8292350769043,597.7096557617188,32.52027893066406,10.359999656677246,119.91913604736328,34.95286178588867,28.22981834411621
2014-02-14,73.61946868896484,37.93346405029297,599.1542358398438,32.52891159057617,10.970000267028809,120.73876190185547,34.361812591552734,28.42962646484375
2014-02-18,72.98477172851562,37.69026184082031,603.1791381835938,32.598602294921875,11.420000076293945,120.55338287353516,33.970245361328125,28.80069923400879
2014-02-19,72.29010009765625,37.362709045410156,598.9251098632812,32.67700958251953,11.399999618530273,118.85557556152344,34.376583099365234,28.305932998657227
2014-02-20,73.0019302368164,37.77463150024414,599.8067626953125,32.88610076904297,11.399999618530273,121.68522644042969,35.5512809753418,28.5152587890625
2014-02-21,72.6331787109375,37.79448699951172,599.6473999023438,33.08644485473633,11.270000457763672,120.19234466552734,34.923301696777344,28.172739028930664
2014-02-24,72.7275161743164,37.99797821044922,603.9910888671875,32.83381652832031,11.710000038146973,120.37772369384766,34.15494155883789,28.25836753845215
2014-02-25,72.08428192138672,38.12702178955078,607.7221069335938,32.70314407348633,11.539999961853027,120.80705261230469,34.19926452636719,28.667495727539062
2014-02-26,72.34156799316406,38.12702178955078,607.8067626953125,32.64216613769531,11.520000457763672,121.26566314697266,34.243595123291016,28.924386978149414
2014-02-27,72.87330627441406,38.23125076293945,607.32861328125,32.98191452026367,11.890000343322754,121.8803939819336,35.09322738647461,29.228857040405273
