Date,CEYIX,CSIEX,CVMIX,PARNX,PARWX,PFPWX,PGINX,PRBLX,PRILX,PXLIX
2016-12-16,35.07957077026367,30.226850509643555,11.852346420288086,35.10338592529297,27.564456939697266,27.270143508911133,12.138607025146484,29.253381729125977,29.066001892089844,6.681771278381348
2016-12-19,35.14512634277344,30.291440963745117,11.794151306152344,35.21962356567383,27.680692672729492,27.384933471679688,12.156846046447754,29.357112884521484,29.16884422302246,6.695135116577148
2016-12-20,35.24345397949219,30.372169494628906,11.803851127624512,35.366859436035156,27.846744537353516,27.548913955688477,12.16596508026123,29.44603729248047,29.256988525390625,6.715179920196533
2016-12-21,35.15332794189453,30.291440963745117,11.774754524230957,35.35136032104492,27.838438034057617,27.54071617126465,12.156846046447754,29.416385650634766,29.227602005004883,6.701816082000732
2016-12-22,34.95665740966797,30.121902465820312,11.716558456420898,35.42884826660156,27.896556854248047,27.606307983398438,12.123906135559082,29.438629150390625,29.24964141845703,6.695135116577148
2016-12-23,34.99763107299805,30.154193878173828,11.697159767150879,35.52958679199219,28.021095275878906,27.721094131469727,12.160507202148438,29.4904842376709,29.301063537597656,6.701816082000732
2016-12-27,35.030616760253906,30.184917449951172,11.709877967834473,35.669071197509766,28.095821380615234,27.803083419799805,12.178807258605957,29.571992874145508,29.38185691833496,6.708497524261475
2016-12-28,34.758487701416016,29.950424194335938,11.749008178710938,35.30508804321289,27.805770874023438,27.5104923248291,12.096456527709961,29.323240280151367,29.13288688659668,6.6617255210876465
2016-12-29,34.76673126220703,29.95850944519043,11.885965347290039,35.27383804321289,27.747093200683594,27.452470779418945,12.133056640625,29.315818786621094,29.12552261352539,6.65504264831543
2016-12-30,34.56882095336914,29.78870964050293,11.89574909210205,35.125431060791016,27.65488624572754,27.361291885375977,12.114755630493164,29.174734115600586,28.985559463500977,6.621634483337402
2017-01-03,34.898677825927734,30.071712493896484,12.013141632080078,35.59408187866211,28.05725860595703,27.759153366088867,12.169655799865723,29.501453399658203,29.309667587280273,6.681771278381348
2017-01-04,35.129573822021484,30.265779495239258,12.052271842956543,35.890899658203125,28.241680145263672,27.941509246826172,12.270307540893555,29.694520950317383,29.501192092895508,6.708497524261475
2017-01-05,35.14606857299805,30.281953811645508,12.179447174072266,35.750301361083984,28.107553482055664,27.808889389038086,12.28860855102539,29.694520950317383,29.501192092895508,6.701816082000732
2017-01-06,35.327484130859375,30.435583114624023,12.140316009521484,35.82060241699219,28.124319076538086,27.82546615600586,12.297759056091309,29.7613525390625,29.567476272583008,6.728542327880859
2017-01-09,35.29450607299805,30.411327362060547,12.071836471557617,35.71125030517578,28.141084671020508,27.842044830322266,12.224556922912598,29.66481590270996,29.47172737121582,6.701816082000732
2017-01-10,35.319244384765625,30.42749786376953,12.140316009521484,35.73468017578125,28.149471282958984,27.850332260131836,12.233707427978516,29.627689361572266,29.434890747070312,6.688451290130615
2017-01-11,35.37696838378906,30.476016998291016,12.15009880065918,35.87527847290039,28.065641403198242,27.76744270324707,12.325209617614746,29.694520950317383,29.501192092895508,6.708497524261475
2017-01-12,35.327484130859375,30.435583114624023,12.189229011535645,35.719058990478516,27.998579025268555,27.709423065185547,12.316059112548828,29.5831356048584,29.39069938659668,6.695135116577148
2017-01-13,35.38521194458008,30.484102249145508,12.189229011535645,35.859657287597656,28.090787887573242,27.800600051879883,12.352659225463867,29.63511085510254,29.449623107910156,6.708497524261475
2017-01-17,35.409950256347656,30.508358001708984,12.21857738494873,35.48473358154297,27.797393798828125,27.50220489501953,12.306907653808594,29.50887680053711,29.324405670166016,6.6750874519348145
2017-01-18,35.40170669555664,30.500272750854492,12.247926712036133,35.68000793457031,27.956663131713867,27.667980194091797,12.325209617614746,29.590557098388672,29.40542984008789,6.701816082000732
2017-01-19,35.25326919555664,30.37089729309082,12.238142967224121,35.53941345214844,27.830921173095703,27.535356521606445,12.325209617614746,29.501453399658203,29.317035675048828,6.6750874519348145
2017-01-20,35.245025634765625,30.362808227539062,12.247926712036133,35.73468017578125,27.906370162963867,27.618244171142578,12.361809730529785,29.649965286254883,29.464357376098633,6.695135116577148
2017-01-23,35.2285270690918,30.346635818481445,12.355535507202148,35.578460693359375,27.65488624572754,27.361291885375977,12.380108833312988,29.56828498840332,29.38333511352539,6.6684064865112305
2017-01-24,35.4511833190918,30.540700912475586,12.414231300354004,36.00025177001953,27.847686767578125,27.560222625732422,12.453310012817383,29.798479080200195,29.61168670654297,6.695135116577148
2017-01-25,35.63260269165039,30.694334030151367,12.512057304382324,36.42203903198242,28.21653175354004,27.9249324798584,12.599712371826172,30.07322120666504,29.884218215942383,6.7485880851745605
2017-01-26,35.56663131713867,30.637731552124023,12.541406631469727,36.25800323486328,27.948284149169922,27.651397705078125,12.535660743713379,29.984113693237305,29.795839309692383,6.7485880851745605
2017-01-27,35.54189682006836,30.62156105041504,12.560972213745117,36.226768493652344,27.948284149169922,27.651397705078125,12.535660743713379,29.93955421447754,29.751638412475586,6.7485880851745605
2017-01-30,35.4346923828125,30.51644515991211,12.502276420593262,35.984622955322266,27.864456176757812,27.568511962890625,12.435009956359863,29.78362464904785,29.596948623657227,6.701816082000732
2017-01-31,35.484169006347656,30.564960479736328,12.47292709350586,35.922142028808594,27.931514739990234,27.643108367919922,12.526510238647461,29.75391960144043,29.567476272583008,6.701816082000732
2017-02-01,35.41819763183594,30.508358001708984,12.551189422607422,36.047115325927734,28.090787887573242,27.79231071472168,12.553960800170898,29.739072799682617,29.552751541137695,6.701816082000732
