Date,CAIBX,DFEVX,ESGN,ESGS,FAN,FKINX,IWD,TOPIX,VTV,VYM
2016-12-16,49.30780792236328,21.80523681640625,21.005084991455078,22.155061721801758,10.393728256225586,1.8604929447174072,102.59410095214844,9.970117568969727,84.56043243408203,67.37843322753906
2016-12-19,49.37582778930664,21.65986442565918,21.13484764099121,22.155061721801758,10.393728256225586,1.8604929447174072,102.74790954589844,9.960362434387207,84.78484344482422,67.59815979003906
2016-12-20,49.45235824584961,21.65986442565918,21.13484764099121,22.147245407104492,10.35013198852539,1.8604929447174072,103.2183609008789,9.931096076965332,85.06310272216797,67.82665252685547
2016-12-21,49.37582778930664,21.632610321044922,21.13484764099121,22.147245407104492,10.431571006774902,1.868582010269165,102.93789672851562,9.950607299804688,84.89256286621094,67.66847229003906
2016-12-22,49.37582778930664,21.43272590637207,21.102407455444336,22.053503036499023,10.41326904296875,1.8604929447174072,102.84043884277344,9.999383926391602,84.84282684326172,67.63921356201172
2016-12-23,49.444480895996094,21.45998764038086,21.456159591674805,22.07179832458496,10.449871063232422,1.868582010269165,102.94064331054688,10.028650283813477,84.9061279296875,67.7278823852539
2016-12-27,49.47880554199219,21.505413055419922,21.126323699951172,22.122699737548828,10.523077011108398,1.868582010269165,103.1319351196289,10.077428817749023,85.01464080810547,67.8165512084961
2016-12-28,49.264286041259766,21.55992317199707,21.035612106323242,22.23087501525879,10.513924598693848,1.8604929447174072,102.20279693603516,9.979872703552246,84.30928802490234,67.28456115722656
2016-12-29,49.53029251098633,21.750720977783203,21.068599700927734,22.23087501525879,10.614582061767578,1.868582010269165,102.12992858886719,9.943625450134277,84.27310943603516,67.36437225341797
2016-12-30,49.46164321899414,21.75980567932129,21.15105628967285,21.90873908996582,10.706085205078125,1.868582010269165,102.04795837402344,9.904438972473145,84.11034393310547,67.17816925048828
2017-01-03,49.684757232666016,22.023284912109375,21.19145965576172,22.039981842041016,10.742687225341797,1.8766710758209229,102.77667236328125,10.061185836791992,84.67101287841797,67.5328140258789
2017-01-04,49.916439056396484,22.132307052612305,21.464405059814453,22.039981842041016,10.825045585632324,1.8847951889038086,103.45984649658203,10.090576171875,85.13221740722656,67.7278823852539
2017-01-05,50.139549255371094,22.404878616333008,21.464405059814453,22.039981842041016,10.916548728942871,1.8847951889038086,103.04994201660156,10.1493558883667,84.81570434570312,67.5771484375
2017-01-06,50.010833740234375,22.341276168823242,21.464405059814453,22.039981842041016,10.806742668151855,1.8847951889038086,103.19569396972656,10.139559745788574,84.89707946777344,67.59488677978516
2017-01-09,49.85636901855469,22.1777400970459,21.464405059814453,22.039981842041016,10.843344688415527,1.8847951889038086,102.5033950805664,9.943625450134277,84.43589782714844,67.1693115234375
2017-01-10,49.7877311706543,22.39579200744629,21.464405059814453,22.024072647094727,10.81589126586914,1.8847951889038086,102.47607421875,9.845659255981445,84.42683410644531,67.05404663085938
2017-01-11,49.839210510253906,22.613840103149414,21.464405059814453,22.04793357849121,10.8799467086792,1.892919898033142,102.9041976928711,9.943625450134277,84.73431396484375,67.24910736083984
2017-01-12,49.822052001953125,22.79555320739746,21.695289611816406,22.04793357849121,10.898246765136719,1.8847951889038086,102.63092803955078,9.91423511505127,84.48109436035156,67.10724639892578
2017-01-13,49.95076370239258,22.85006332397461,21.843725204467773,22.103612899780273,10.916548728942871,1.892919898033142,102.75845336914062,9.865251541137695,84.59866333007812,67.1693115234375
2017-01-17,50.062320709228516,22.85006332397461,21.843725204467773,22.07179832458496,10.971449851989746,1.8847951889038086,102.22103881835938,9.933829307556152,84.14649963378906,66.9831314086914
2017-01-18,49.916439056396484,22.913667678833008,21.843725204467773,22.14337921142578,10.980600357055664,1.8847951889038086,102.42141723632812,9.91423511505127,84.29119110107422,67.08952331542969
2017-01-19,49.79630661010742,22.80463981628418,21.843725204467773,22.14337921142578,10.953150749206543,1.8847951889038086,101.99330139160156,9.904438972473145,83.92945098876953,66.84127044677734
2017-01-20,49.99367141723633,22.85006332397461,21.851970672607422,22.14337921142578,11.053805351257324,1.8847951889038086,102.5033950805664,9.953422546386719,84.31831359863281,67.11611938476562
2017-01-23,49.98508834838867,23.049945831298828,21.963293075561523,21.97157859802246,11.108709335327148,1.8766710758209229,101.97508239746094,9.855456352233887,84.02893829345703,66.86787414550781
2017-01-24,50.16529846191406,23.213489532470703,22.049875259399414,21.97157859802246,11.200213432312012,1.8847951889038086,102.8131103515625,10.051389694213867,84.64386749267578,67.24910736083984
2017-01-25,50.40556335449219,23.277084350585938,22.148826599121094,21.97157859802246,11.22766399383545,1.9010430574417114,103.69667053222656,10.129762649536133,85.27690124511719,67.80765533447266
2017-01-26,50.25968551635742,23.33159828186035,22.119140625,21.97157859802246,11.209362030029297,1.892919898033142,103.5782470703125,10.188542366027832,85.24072265625,67.66580200195312
2017-01-27,50.21677017211914,23.313425064086914,22.016891479492188,21.97157859802246,11.218515396118164,1.892919898033142,103.26854705810547,10.100373268127441,85.1050796508789,67.65694427490234
2017-01-30,49.959354400634766,23.18623161315918,21.794248580932617,22.15928840637207,11.136157989501953,1.8847951889038086,102.53984069824219,9.91423511505127,84.57151794433594,67.23136901855469
2017-01-31,50.045162200927734,23.131715774536133,21.794248580932617,22.15928840637207,11.154458999633789,1.8847951889038086,102.66737365722656,9.933829307556152,84.52632141113281,67.15156555175781
2017-02-01,49.967933654785156,23.340686798095703,21.98967933654785,22.113157272338867,11.22766399383545,1.8929544687271118,102.39408874511719,9.904438972473145,84.28214263916016,66.84127044677734
