Date,ADM,AES,BAC,BG,D,JNJ,JPM,MCD
2014-01-02,35.04412078857422,11.137149810791016,14.311323165893555,67.41383361816406,47.91971969604492,75.16817474365234,47.98651885986328,78.4823226928711
2014-01-03,35.2071418762207,11.082515716552734,14.586880683898926,66.8624496459961,47.86697006225586,75.84529876708984,48.35749435424805,78.588134765625
2014-01-06,35.280521392822266,11.191781044006348,14.809107780456543,66.73079681396484,47.8745002746582,76.24165344238281,48.63777542114258,78.0264663696289
2014-01-07,34.929988861083984,11.386894226074219,14.66688060760498,67.19163513183594,48.756317138671875,77.86016082763672,48.07719802856445,78.45787811279297
2014-01-08,34.53055953979492,11.160562515258789,14.737992286682129,66.92828369140625,48.809078216552734,77.75279998779297,48.53060531616211,77.66826629638672
2014-01-09,34.36752700805664,11.285433769226074,14.96021842956543,66.84601593017578,49.984832763671875,78.22347259521484,48.439918518066406,77.70897674560547
2014-01-10,34.220794677734375,11.340066909790039,14.906882286071777,67.02705383300781,51.08522415161133,78.23172760009766,48.21734619140625,77.98575592041016
2014-01-13,33.85397720336914,11.12934398651123,14.604660987854004,66.70610809326172,50.6254768371582,78.03353881835938,47.56608581542969,77.19610595703125
2014-01-14,34.50611114501953,11.269824981689453,14.906882286071777,67.32330322265625,50.58024597167969,78.2152328491211,47.59906768798828,77.51359558105469
2014-01-15,34.60392761230469,11.160562515258789,15.244670867919922,67.1340560913086,50.218475341796875,78.28128051757812,49.04171371459961,77.70897674560547
2014-01-16,33.62571716308594,11.168364524841309,15.182446479797363,67.04348754882812,50.10542297363281,78.1491470336914,48.6295280456543,78.19740295410156
2014-01-17,33.430076599121094,11.160562515258789,15.120220184326172,66.90363311767578,49.96223068237305,78.49596405029297,47.904090881347656,77.27751159667969
2014-01-21,33.72352600097656,11.262022018432617,15.120220184326172,66.9365234375,50.406898498535156,77.64544677734375,47.95354080200195,77.39964294433594
2014-01-22,34.440887451171875,11.293240547180176,15.244670867919922,66.73079681396484,50.58779525756836,77.88491821289062,47.47541809082031,77.23680114746094
2014-01-23,33.29149627685547,11.074710845947266,14.986886978149414,65.91610717773438,50.04513931274414,76.5802230834961,46.55210876464844,77.59501647949219
2014-01-24,32.25623321533203,10.707897186279297,14.622434616088867,63.89171600341797,49.69089126586914,74.82136535644531,45.414485931396484,76.87049865722656
2014-01-27,32.085060119628906,10.645458221435547,14.497991561889648,63.38972473144531,50.060211181640625,74.26810455322266,45.414485931396484,76.57743072509766
2014-01-28,32.663822174072266,10.903009414672852,14.871330261230469,63.7518310546875,49.93962478637695,74.40023040771484,45.9503288269043,76.66698455810547
2014-01-29,31.970928192138672,10.73131275177002,14.826885223388672,62.500972747802734,49.95469665527344,73.40935516357422,45.77721405029297,75.82849884033203
2014-01-30,32.20732879638672,10.927135467529297,15.04910945892334,63.06880569458008,50.535037994384766,73.90478515625,46.1646614074707,76.357666015625
2014-01-31,32.1828727722168,11.013299942016602,14.889107704162598,62.344627380371094,51.18321228027344,73.05426025390625,45.63706970214844,76.6588363647461
2014-02-03,31.718229293823242,10.739143371582031,14.533549308776855,61.25013732910156,50.58779525756836,71.65874481201172,44.771480560302734,75.72269439697266
2014-02-04,31.16390609741211,10.833138465881348,14.533549308776855,60.4930534362793,49.6306037902832,71.526611328125,45.2990837097168,75.77967071533203
2014-02-05,31.514429092407227,10.840970993041992,14.577993392944336,61.110225677490234,49.51755142211914,72.0716323852539,45.5134162902832,76.17855072021484
2014-02-06,31.88126564025879,10.934969902038574,14.835775375366211,61.81795883178711,49.69089126586914,73.28549194335938,46.560359954833984,77.28567504882812
2014-02-07,32.51708984375,11.013299942016602,14.951333045959473,61.87556076049805,50.444583892822266,74.3506851196289,46.6757698059082,78.08341979980469
2014-02-10,32.696434020996094,11.005467414855957,14.862439155578613,61.40647888183594,51.62034606933594,75.20121765136719,46.77470779418945,77.22053527832031
2014-02-11,33.03879165649414,11.224791526794434,15.00466251373291,62.87129592895508,52.1102409362793,76.7701416015625,47.34351348876953,77.61128234863281
2014-02-12,33.1366081237793,11.209128379821777,14.889107704162598,62.484519958496094,52.276058197021484,76.31599426269531,47.41770553588867,77.24496459960938
2014-02-13,33.15291976928711,11.35012149810791,14.889107704162598,63.91383361816406,53.27847671508789,76.43158721923828,47.8381233215332,77.70897674560547
2014-02-14,33.242591857910156,11.451951026916504,14.844664573669434,64.95481872558594,53.59501647949219,76.59674072265625,47.93705368041992,77.96947479248047
2014-02-18,33.2343864440918,11.561614036560059,14.640210151672363,64.69868469238281,53.406593322753906,76.1095199584961,48.21734619140625,78.16484069824219
2014-02-19,32.758792877197266,11.287456512451172,14.4002103805542,64.77306365966797,53.240787506103516,75.6718978881836,47.203365325927734,77.7822265625
2014-02-20,32.89818572998047,11.373621940612793,14.489100456237793,65.38440704345703,53.88896179199219,76.282958984375,47.4671630859375,77.94506072998047
2014-02-21,32.791595458984375,11.459784507751465,14.480212211608887,65.57445526123047,53.806060791015625,76.11663055419922,47.49190139770508,78.51486206054688
2014-02-24,32.930999755859375,11.177794456481934,14.693550109863281,65.99580383300781,53.730682373046875,75.77561950683594,47.8381233215332,78.55557250976562
2014-02-25,33.119590759277344,11.193462371826172,14.524656295776367,66.10321044921875,53.70807647705078,75.77561950683594,47.01376724243164,78.65326690673828
2014-02-26,33.119590759277344,11.099465370178223,14.51577091217041,66.12799835205078,53.02401351928711,75.77561950683594,46.78295135498047,78.05900573730469
2014-02-27,32.7095947265625,10.793973922729492,14.657994270324707,65.673583984375,52.887184143066406,75.98355865478516,46.733482360839844,78.05901336669922
